n,wV,dwV,Ifit,dIfit,CENTER,CENTER_err
446.0,3098.8447014052044,2051.097072415922,0.14848774993699007,0.09828268872179383,9.649105976899275,1.6585798585673894
486.0,2166.5755943073063,1450.7553566016052,0.2078382857475396,0.13917008349368967,6.886801299816983,0.5533196975431542
516.0,2432.65081072122,1639.5828500783505,0.35748637541289624,0.24094232007341948,6.363689151813276,0.7052493772615177
536.0,2108.924964351918,1404.867947770506,0.39178124425486327,0.2609864845335765,6.21068557761729,0.42639300592613344
556.0,2107.1434118603224,1458.016900498701,0.511234735331497,0.3537437841391277,6.615029132096103,0.3518139869241891
576.0,1788.410743448983,1227.6621345554988,0.357791699871557,0.24560762878412346,6.95061385723863,0.5253400035034804
596.0,1005.4651968992372,644.2269050821926,0.07028646532013605,0.045034310647448395,12.681990245041861,2.130089542741642
616.0,2216.228725807301,1498.1566930688516,0.35896735644410166,0.24265967740042882,5.493825454426817,0.980839680488466
636.0,2633.594102782933,1814.8879684009512,0.6559785057791719,0.4520542844511294,5.000000000000001,0.6573765268295165
656.0,,,,,,
676.0,,,,,,
696.0,,,,,,
716.0,,,,,,
736.0,,,,,,
771.0,,,,,,
